name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Kyeron Pullard,All-Rounder,91,91,82,True,27,Right,Right,Finisher,Death Overs,Right-arm Medium,"Technique, Spin bowling","Concentration, Spin off-break",5
Shykhar Dhewan,Batsman,91,91,10,False,28,Left,Right,Aggressive Opener,Part-time,None,"Power hitting, Death bowling","Concentration, Running between wickets",1
Senju Semson,Wicketkeeper,91,91,10,False,26,Right,None,Aggressive Opener,Part-time,None,"Fielding, Technique","High pace, Running between wickets",1
Geutam Gembhir,Batsman,91,91,10,False,27,Left,Right,Anchor,Part-time,None,"Spin bowling, Power hitting","High pace, Concentration",1
Axer Petel,All-Rounder,91,82,91,False,27,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,"Fielding, Spin bowling","Concentration, Spin off-break",7
Yozvendra Chehal,Bowler (Spin),91,20,94,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Spin bowling, Power hitting","Running between wickets, Spin leg-break",11
Jush Hezlewood,Bowler (Fast),91,12,91,True,28,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Fast bowling, Power hitting","Concentration, Swing",11
Shriyas Iyir,Batsman,90,93,15,False,26,Right,Right,Anchor,Part-time,None,"Fielding, Spin bowling","Spin leg-break, Swing",3
Hiinrich Kleasen,Wicketkeeper,90,92,10,True,30,Right,None,Aggressor,Part-time,None,"Aggressive batting, Fast bowling","Swing, High pace",4
Metthew Heyden,Batsman,90,90,10,True,31,Left,Right,Aggressive Opener,Part-time,None,"Technique, Power hitting","Concentration, Running between wickets",1
Pet Commins,All-Rounder,90,78,92,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,"Technique, Fast bowling","Running between wickets, Short pitch balls",7
Herbhajan Syngh,Bowler (Spin),90,78,90,False,26,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Aggressive batting, Power hitting","Spin leg-break, Short pitch balls",8
Bhovneshwar Komar,Bowler (Fast),90,35,92,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Swing,"Spin bowling, Fast bowling","Concentration, Swing",9
Koldeep Yedav,Bowler (Spin),90,22,93,False,26,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,"Spin bowling, Fast bowling","Spin off-break, Concentration",11
Nycholas Puoran,Wicketkeeper,89,91,15,True,26,Left,None,Aggressor,Part-time,None,"Death bowling, Spin bowling","Spin off-break, High pace",4
KL Rehul,Wicketkeeper,89,90,10,False,26,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Technique","High pace, Spin off-break",1
Glinn Mexwell,All-Rounder,89,89,83,True,27,Right,Right,Aggressive Opener,Middle Overs,Right-arm Offbreak,"Power hitting, Fielding","Swing, Spin off-break",4
Andriw Symunds,All-Rounder,89,89,75,True,28,Right,Right,Finisher,Middle Overs,Right-arm Medium,"Technique, Fast bowling","Spin leg-break, Short pitch balls",5
Cemeron Grien,All-Rounder,89,89,74,True,25,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,"Technique, Fast bowling","High pace, Swing",1
Kivin Pyetersen,Batsman,89,89,10,True,26,Right,Right,Anchor,Part-time,None,"Fielding, Technique","Concentration, Spin leg-break",4
Mychael Hossey,Batsman,89,89,10,True,32,Left,Right,Anchor,Part-time,None,"Technique, Power hitting","Swing, Spin off-break",3
Mehela Jeyawardene,Batsman,89,89,10,True,29,Right,Right,Anchor,Part-time,None,"Death bowling, Technique","Spin leg-break, High pace",3
Zeheer Khen,Bowler (Fast),89,18,89,False,26,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Death bowling, Fielding","Concentration, Running between wickets",11
Yeshasvi Jeiswal,Batsman,88,89,10,False,21,Left,Right,Aggressive Opener,Part-time,None,"Spin bowling, Technique","High pace, Spin leg-break",1
Shobman Gyll,Batsman,88,89,10,False,22,Right,Right,Anchor,Part-time,None,"Aggressive batting, Fielding","Concentration, Spin leg-break",1
Mytchell Mersh,All-Rounder,88,88,75,True,28,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,"Death bowling, Technique","Spin off-break, Short pitch balls",1
Trevis Hiad,Batsman,88,88,55,True,28,Left,Right,Aggressive Opener,Part-time,None,"Fast bowling, Death bowling","Concentration, High pace",1
Wenindu Hesaranga,All-Rounder,88,74,88,True,25,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Power hitting, Spin bowling","Spin off-break, High pace",7
Trint Buult,Bowler (Fast),88,22,88,True,27,Right,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Technique, Death bowling","Spin off-break, Short pitch balls",11
Jufra Archir,Bowler (Fast),88,20,88,True,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Death bowling, Power hitting","Spin leg-break, Spin off-break",10
Muhammed Shemi,Bowler (Fast),88,16,88,False,27,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Fielding, Power hitting","Concentration, Running between wickets",11
Mytchell Sterc,Bowler (Fast),88,15,88,True,25,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,"Death bowling, Technique","Concentration, Swing",11
Sheun Pullock,Bowler (Fast),88,15,88,True,26,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Technique, Aggressive batting","Spin leg-break, Spin off-break",9
Roturaj Geikwad,Batsman,87,88,10,False,24,Right,Right,Aggressive Opener,Part-time,None,"Fast bowling, Aggressive batting","High pace, Spin off-break",1
Lyam Lyvingstone,All-Rounder,87,87,78,True,27,Right,Right,Aggressive Opener,Middle Overs,Leg-spin,"Spin bowling, Fast bowling","Spin off-break, Swing",4
Yosuf Pethan,All-Rounder,87,87,76,False,26,Right,Right,Finisher,Middle Overs,Right-arm Offbreak,"Power hitting, Aggressive batting","Swing, Spin off-break",5
Mercus Stuinis,All-Rounder,87,87,74,True,29,Right,Right,Finisher,Flexible,Right-arm Medium,"Aggressive batting, Spin bowling","Spin off-break, Spin leg-break",4
Shyvam Dobe,All-Rounder,87,87,68,False,28,Left,Right,Finisher,Flexible,Right-arm Medium,"Fielding, Fast bowling","Running between wickets, Concentration",4
Tym Devid,All-Rounder,87,87,50,True,26,Right,Right,Finisher,Flexible,Right-arm Medium,"Spin bowling, Aggressive batting","Swing, High pace",6
Fynn Allin,Wicketkeeper,87,87,20,True,24,Right,None,Aggressive Opener,Part-time,None,"Fast bowling, Technique","Running between wickets, Short pitch balls",1
Rubin Utheppa,Wicketkeeper,87,87,10,False,26,Right,None,Aggressive Opener,Part-time,None,"Aggressive batting, Power hitting","Swing, Spin leg-break",1
Fef du Plissis,Batsman,87,87,10,True,31,Right,Right,Aggressive Opener,Part-time,None,"Power hitting, Technique","Spin off-break, Running between wickets",1
Qointon de Kuck,Wicketkeeper,87,87,10,True,25,Left,Right,Aggressive Opener,Part-time,None,"Spin bowling, Power hitting","Spin off-break, Swing",1
Shymron Hitmyer,Batsman,87,87,10,True,25,Left,None,Finisher,Part-time,None,"Fast bowling, Power hitting","Short pitch balls, Concentration",5
Rejat Petidar,Batsman,87,87,10,False,28,Right,Right,Aggressive Opener,Part-time,None,"Spin bowling, Fielding","Spin leg-break, High pace",4
Jytesh Sherma,Wicketkeeper,87,87,10,False,28,Right,None,Finisher,Part-time,None,"Death bowling, Power hitting","Spin off-break, Running between wickets",6
Divdutt Pedikkal,Batsman,87,87,10,False,23,Left,None,Aggressive Opener,Part-time,None,"Death bowling, Aggressive batting","Concentration, Short pitch balls",1
Revichandran Ashwyn,Bowler (Spin),87,55,87,False,28,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Fast bowling, Death bowling","High pace, Concentration",8
Kegiso Rebada,Bowler (Fast),87,18,91,True,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Technique, Power hitting","High pace, Concentration",10
Anrych Nurtje,Bowler (Fast),87,12,87,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fielding, Fast bowling","Spin leg-break, Running between wickets",11
Tylak Verma,All-Rounder,86,86,60,False,23,Left,Right,Finisher,Part-time,Right-arm Medium,"Death bowling, Power hitting","Swing, Concentration",4
Rynku Syngh,Batsman,86,86,15,False,24,Left,Right,Finisher,Part-time,None,"Aggressive batting, Technique","Spin off-break, Swing",5
Kene Wylliamson,Batsman,86,86,15,True,26,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Spin bowling, Power hitting","Concentration, Swing",3
Ryshabh Pent,Wicketkeeper,86,86,12,False,24,Left,None,Aggressive Opener,Part-time,None,"Technique, Spin bowling","Concentration, Running between wickets",4
Devid Myller,Batsman,86,86,10,True,26,Left,Right,Finisher,Part-time,None,"Aggressive batting, Technique","Swing, High pace",5
Junny Beirstow,Wicketkeeper,86,86,10,True,28,Right,None,Aggressive Opener,Part-time,None,"Fielding, Spin bowling","Spin leg-break, High pace",1
Divon Cunway,Wicketkeeper,86,86,10,True,29,Left,None,Anchor,Part-time,None,"Death bowling, Fast bowling","Swing, Short pitch balls",1
Shekib Al Hesan,All-Rounder,86,75,86,True,26,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,"Death bowling, Spin bowling","Short pitch balls, Spin leg-break",6
Arshdiep Syngh,Bowler (Fast),86,15,86,False,23,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,"Fielding, Aggressive batting","Running between wickets, Swing",11
T Netarajan,Bowler (Fast),86,11,86,False,27,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,"Technique, Spin bowling","Short pitch balls, High pace",11
Bin Stukes,All-Rounder,85,85,80,True,27,Left,Right,Finisher,Middle Overs,Right-arm Fast-medium,"Fielding, Spin bowling","Swing, Spin off-break",4
Abhyshek Sherma,All-Rounder,85,85,65,False,23,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,"Fast bowling, Power hitting","High pace, Concentration",1
Vinkatesh Iyir,All-Rounder,85,85,52,False,26,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,"Death bowling, Fast bowling","Spin off-break, Short pitch balls",1
Stive Smyth,Batsman,85,85,20,True,26,Right,Right,Anchor,Part-time,Right-arm Legbreak,"Fielding, Spin bowling","High pace, Concentration",3
Phyl Selt,Batsman,85,85,10,True,25,Right,Right,Aggressive Opener,Part-time,None,"Technique, Fielding","Short pitch balls, High pace",1
Prebhsimran Syngh,Wicketkeeper,85,85,10,False,23,Right,None,Aggressive Opener,Part-time,None,"Technique, Fast bowling","Spin off-break, Concentration",1
Dynesh Kerthik,Wicketkeeper,85,85,10,False,28,Right,None,Finisher,Part-time,None,"Spin bowling, Death bowling","Swing, Short pitch balls",5
Chrys Lyno,Batsman,85,85,10,True,26,Right,Right,Aggressive Opener,Part-time,None,"Power hitting, Fielding","Concentration, Running between wickets",1
Verun Chekravarthy,Bowler (Spin),85,30,85,False,29,Right,Right,Defensive Tailender,Middle Overs,Mystery Spin,"Spin bowling, Death bowling","Spin leg-break, Spin off-break",11
Muhammed Syraj,Bowler (Fast),85,15,85,False,26,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Death bowling, Fielding","Running between wickets, Spin off-break",11
Trystan Stobbs,Wicketkeeper,84,84,35,True,24,Right,Right,Finisher,Part-time,None,"Power hitting, Aggressive batting","Concentration, Short pitch balls",5
Sei Sodharsan,Batsman,84,84,10,False,23,Left,None,Anchor,Part-time,None,"Fast bowling, Spin bowling","Swing, High pace",3
Ishen Kyshan,Wicketkeeper,84,84,10,False,23,Left,Right,Aggressive Opener,Part-time,None,"Power hitting, Aggressive batting","Short pitch balls, Spin off-break",1
Tyllakaratne Dylshan,Batsman,84,84,10,True,31,Right,Right,Aggressive Opener,Part-time,None,"Aggressive batting, Power hitting","Spin leg-break, Running between wickets",1
Irfen Pethan,All-Rounder,84,72,84,False,22,Left,Left,Lower-order Hitter,New-ball Bowler,Left-arm Fast,"Aggressive batting, Power hitting","Swing, Short pitch balls",6
Weshington Sondar,All-Rounder,84,68,84,False,22,Right,Right,Finisher,New-ball Bowler,Right-arm Offbreak,"Death bowling, Spin bowling","Spin leg-break, Swing",7
Hershal Petel,All-Rounder,84,50,84,False,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Variations,"Spin bowling, Power hitting","Short pitch balls, Spin leg-break",8
Girald Cuetzee,Bowler (Fast),84,24,84,True,23,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Technique, Death bowling","Running between wickets, Swing",10
Mojeeb Ur Rehman,Bowler (Spin),84,20,84,True,22,Right,Right,Defensive Tailender,New Ball,Mystery Spin,"Aggressive batting, Fast bowling","Short pitch balls, Concentration",11
Meheesh Thiekshana,Bowler (Spin),84,18,84,True,24,Right,Right,Defensive Tailender,New Ball,Mystery Spin,"Spin bowling, Aggressive batting","High pace, Concentration",11
Nuor Ahmed,Bowler (Spin),84,15,84,True,21,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,"Technique, Fast bowling","Short pitch balls, Running between wickets",11
Metheesha Pethirana,Bowler (Fast),84,15,84,True,20,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fielding, Aggressive batting","Concentration, Spin leg-break",11
Eshen Melinga,Bowler (Fast),84,14,84,True,23,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fast bowling, Technique","Spin off-break, Concentration",11
Mokesh Komar,Bowler (Fast),84,12,84,False,27,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fast bowling, Aggressive batting","Concentration, Swing",11
Ashysh Nihra,Bowler (Fast),84,12,84,False,26,Right,Left,Defensive Tailender,Death Overs,Left-arm Fast-medium,"Fielding, Spin bowling","High pace, Swing",11
Mostafizur Rehman,Bowler (Fast),84,11,84,True,23,Left,Left,Defensive Tailender,New Ball,Left-arm Variations,"Death bowling, Fielding","Short pitch balls, Spin leg-break",11
Mueen Aly,All-Rounder,83,83,81,True,28,Left,Right,Finisher,Middle Overs,Right-arm Offbreak,"Power hitting, Fast bowling","Spin off-break, High pace",4
Ryyan Perag,All-Rounder,83,83,68,False,23,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,"Fast bowling, Technique","High pace, Spin off-break",5
Deryl Mytchell,All-Rounder,83,83,58,True,29,Right,Right,Middle-over Rotator,Part-time,Right-arm Medium,"Technique, Fielding","Spin leg-break, Spin off-break",5
Dhrov Jorel,Wicketkeeper,83,83,10,False,23,Right,None,Anchor,Part-time,None,"Fast bowling, Fielding","High pace, Running between wickets",6
Ajynkya Rehane,Batsman,83,83,10,False,26,Right,Right,Anchor,Part-time,None,"Power hitting, Aggressive batting","Running between wickets, Spin leg-break",1
Pethum Nyssanka,Batsman,83,83,10,True,25,Right,None,Aggressive Opener,Part-time,None,"Technique, Fast bowling","Swing, Short pitch balls",1
Jush Inglys,Wicketkeeper,83,83,10,True,28,Right,None,Anchor,Part-time,None,"Spin bowling, Fast bowling","Spin leg-break, Running between wickets",1
Euin Murgan,Batsman,83,83,10,True,28,Left,Right,Anchor,Part-time,None,"Aggressive batting, Fielding","Spin leg-break, Running between wickets",4
Kronal Pendya,All-Rounder,83,76,83,False,28,Left,Left,Finisher,Flexible,Left-arm Orthodox,"Technique, Power hitting","Swing, Spin off-break",6
Jeson Hulder,All-Rounder,83,72,83,True,27,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fast bowling, Technique","Spin off-break, Running between wickets",7
Chrys Murris,Bowler (Fast),83,64,83,True,26,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Spin bowling, Technique","Short pitch balls, Running between wickets",9
Pyyush Chewla,Bowler (Spin),83,60,83,False,26,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Spin bowling, Technique","Spin leg-break, Running between wickets",11
Amyt Myshra,Bowler (Spin),83,55,83,False,28,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Fast bowling, Power hitting","Running between wickets, Swing",11
Merco Jensen,Bowler (Fast),83,55,83,True,22,Left,Left,Lower-order Hitter,Death Overs,Left-arm Fast,"Power hitting, Technique","High pace, Short pitch balls",8
Revi Byshnoi,Bowler (Spin),83,20,83,False,22,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Technique, Fast bowling","High pace, Spin off-break",11
Imren Tehir,Bowler (Spin),83,15,83,True,33,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Technique, Aggressive batting","High pace, Running between wickets",11
Murne Murkel,Bowler (Fast),83,15,83,True,26,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Death bowling, Technique","Spin leg-break, Swing",11
Avish Khen,Bowler (Fast),83,15,83,False,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Technique","Spin leg-break, Short pitch balls",10
Luckie Firguson,Bowler (Fast),83,15,83,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Aggressive batting, Technique","Short pitch balls, Swing",11
Presidh Kryshna,Bowler (Fast),83,11,83,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Spin bowling, Fast bowling","Running between wickets, High pace",11
Kheleel Ahmid,Bowler (Fast),83,11,83,False,25,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,"Fielding, Fast bowling","Swing, Spin leg-break",11
Rechin Revindra,All-Rounder,82,82,74,True,24,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,"Aggressive batting, Fielding","Swing, Running between wickets",1
Wyll Jecks,All-Rounder,82,82,66,True,25,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,"Fast bowling, Spin bowling","Swing, Short pitch balls",4
Ayden Merkram,All-Rounder,82,82,55,True,27,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Spin bowling, Fielding","Running between wickets, High pace",3
Nytish Rena,All-Rounder,82,82,55,False,27,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,"Fielding, Technique","High pace, Swing",3
Sheshank Syngh,Batsman,82,82,40,False,28,Right,Right,Finisher,Part-time,None,"Death bowling, Aggressive batting","Spin off-break, High pace",5
Ambeti Reyudu,Batsman,82,82,10,False,28,Right,Right,Anchor,Part-time,None,"Technique, Aggressive batting","Short pitch balls, Swing",3
Sheun Mersh,Batsman,82,82,10,True,28,Left,Right,Anchor,Part-time,None,"Power hitting, Aggressive batting","Swing, Spin leg-break",3
Rehmanullah Gorbaz,Wicketkeeper,82,82,10,True,23,Right,None,Aggressive Opener,Part-time,None,"Technique, Aggressive batting","Running between wickets, Swing",1
Bin Dockett,Wicketkeeper,82,82,10,True,28,Left,None,Aggressive Opener,Part-time,None,"Death bowling, Power hitting","Swing, Concentration",3
Aeron Fynch,Batsman,82,82,10,True,29,Right,Right,Aggressive Opener,Part-time,None,"Power hitting, Fast bowling","Spin off-break, Running between wickets",1
Azmetullah Omerzai,All-Rounder,82,76,82,True,25,Right,Right,Lower-order Hitter,New Ball,Right-arm Medium,"Death bowling, Technique","Swing, Short pitch balls",7
Jemes Feulkner,All-Rounder,82,74,82,True,23,Left,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Power hitting, Spin bowling","High pace, Short pitch balls",7
Muhammad Nebi,All-Rounder,82,74,82,True,29,Right,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,"Fielding, Fast bowling","Spin leg-break, Running between wickets",6
Mytchell Sentner,All-Rounder,82,72,82,True,28,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Fast bowling, Death bowling","Swing, Spin off-break",7
Sem Corran,All-Rounder,82,70,82,True,23,Left,Left,Lower-order Hitter,Death Overs,Left-arm Fast,"Fast bowling, Aggressive batting","Running between wickets, Short pitch balls",7
Diepak Chehar,Bowler (Fast),82,55,82,False,25,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Swing,"Aggressive batting, Fielding","Running between wickets, Concentration",11
Aoqib Der,Bowler (Fast),82,24,82,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fast bowling, Fielding","Spin leg-break, Running between wickets",11
Pregyan Ojhe,Bowler (Spin),82,20,82,False,25,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Fast bowling, Fielding","Concentration, Swing",11
Mytchell Juhnson,Bowler (Fast),82,18,82,True,26,Left,Left,Defensive Tailender,New-ball Bowler,Left-arm Fast,"Spin bowling, Fielding","High pace, Spin leg-break",11
Mett Hinry,Bowler (Fast),82,18,82,True,28,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Aggressive batting","Concentration, Short pitch balls",11
Muhit Sherma,Bowler (Fast),82,15,82,False,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,"Fast bowling, Power hitting","Short pitch balls, Swing",11
Umish Yedav,Bowler (Fast),82,14,82,False,26,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Fielding, Aggressive batting","High pace, Swing",11
Dweyne Smyth,All-Rounder,81,81,66,True,27,Right,Right,Aggressive Opener,Flexible,Right-arm Fast,"Fielding, Spin bowling","Short pitch balls, Spin leg-break",1
Remandeep Syngh,All-Rounder,81,81,65,False,26,Right,Right,Finisher,Flexible,Right-arm Medium,"Fast bowling, Fielding","Short pitch balls, Swing",7
Glinn Phyllips,Wicketkeeper,81,81,42,True,26,Right,Right,Finisher,Part-time,Right-arm Offbreak,"Fast bowling, Death bowling","Swing, Spin off-break",5
Menish Pendey,Batsman,81,81,10,False,25,Right,Right,Anchor,Part-time,None,"Technique, Fast bowling","Short pitch balls, Running between wickets",4
Albye Murkel,All-Rounder,81,79,81,True,27,Left,Right,Finisher,Death Overs,Right-arm Fast-medium,"Power hitting, Fielding","High pace, Running between wickets",7
Mengesh Yedav,All-Rounder,81,75,81,False,23,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fielding, Death bowling","Swing, Spin off-break",9
Aoqib Nebi,All-Rounder,81,72,81,False,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fielding, Power hitting","Swing, Short pitch balls",9
Akial Husein,Bowler (Spin),81,60,81,True,28,Left,Left,Lower-order Hitter,New Ball,Left-arm Orthodox,"Death bowling, Spin bowling","Spin leg-break, Swing",10
Sei Kyshore,Bowler (Spin),81,48,81,False,26,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Fast bowling, Death bowling","Concentration, Running between wickets",11
