name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Mytchell Sterc,Bowler (Fast),91,28,91,True,35,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,"Power hitting, Aggressive batting","Concentration, Spin leg-break",11
Bhovneshwar Komar,Bowler (Fast),91,24,91,False,36,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Fast bowling, Technique","Spin off-break, Short pitch balls",9
Arshdiep Syngh,Bowler (Fast),91,15,91,False,27,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,"Death bowling, Fast bowling","Concentration, High pace",11
Trint Buult,Bowler (Fast),91,14,91,True,36,Right,Left,Defensive Tailender,New Ball,Left-arm Swing,"Fast bowling, Spin bowling","Spin off-break, High pace",11
Jush Hezlewood,Bowler (Fast),91,12,91,True,35,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Aggressive batting, Spin bowling","Spin off-break, Short pitch balls",11
Abhyshek Sherma,All-Rounder,90,90,65,False,25,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,"Technique, Fielding","Spin leg-break, Spin off-break",1
Yozvendra Chehal,Bowler (Spin),90,11,90,False,35,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Aggressive batting, Power hitting","Concentration, Running between wickets",11
Cemeron Grien,All-Rounder,89,89,74,True,26,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,"Fielding, Power hitting","Concentration, Swing",3
Rynku Syngh,Batsman,89,89,15,False,27,Left,Right,Finisher,Part-time,None,"Power hitting, Fast bowling","Spin leg-break, Spin off-break",5
Phyl Selt,Wicketkeeper,89,89,10,True,29,Right,None,Aggressive Opener,Part-time,None,"Spin bowling, Aggressive batting","High pace, Spin off-break",1
Ryyan Perag,All-Rounder,89,88,72,False,24,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,"Technique, Aggressive batting","Spin off-break, Swing",4
Jufra Archir,Bowler (Fast),89,34,89,True,30,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Technique, Spin bowling","Swing, Spin off-break",10
Muhammed Shemi,Bowler (Fast),89,16,89,False,35,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Power hitting, Death bowling","Spin off-break, Spin leg-break",11
Verun Chekravarthy,Bowler (Spin),89,11,89,False,34,Right,Right,Defensive Tailender,Middle Overs,Mystery Spin,"Fielding, Technique","Running between wickets, Concentration",11
Metheesha Pethirana,Bowler (Fast),89,11,89,True,23,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,"Spin bowling, Power hitting","Swing, High pace",11
Mytchell Mersh,All-Rounder,88,88,75,True,33,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,"Fielding, Spin bowling","Running between wickets, Short pitch balls",1
Trystan Stobbs,Wicketkeeper,88,88,35,True,25,Right,Right,Finisher,Part-time,None,"Spin bowling, Power hitting","Swing, Spin leg-break",5
Ishen Kyshan,Wicketkeeper,88,88,10,False,27,Left,None,Aggressive Opener,Part-time,None,"Fast bowling, Power hitting","Spin off-break, Running between wickets",1
Dhrov Jorel,Wicketkeeper,88,88,10,False,25,Right,None,Middle-over Rotator,Part-time,None,"Fielding, Spin bowling","Spin off-break, Swing",5
Lyam Lyvingstone,All-Rounder,88,86,76,True,32,Right,Right,Finisher,Flexible,Leg-spin,"Aggressive batting, Fast bowling","Short pitch balls, Concentration",4
Wenindu Hesaranga,All-Rounder,88,74,88,True,28,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Technique, Power hitting","Spin leg-break, High pace",8
Nuor Ahmed,Bowler (Spin),88,15,88,True,21,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,"Technique, Fast bowling","Spin off-break, Running between wickets",11
Muhammed Syraj,Bowler (Fast),88,13,88,False,31,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Aggressive batting, Power hitting","Concentration, Short pitch balls",11
Shyvam Dobe,All-Rounder,87,87,68,False,32,Left,Right,Middle-over Rotator,Flexible,Right-arm Medium,"Spin bowling, Fast bowling","High pace, Concentration",4
Fynn Allin,Wicketkeeper,87,87,20,True,26,Right,None,Aggressive Opener,Part-time,None,"Spin bowling, Fast bowling","High pace, Concentration",1
Shymron Hitmyer,Batsman,87,87,10,True,28,Left,None,Finisher,Part-time,None,"Death bowling, Spin bowling","Spin leg-break, Running between wickets",5
Rejat Petidar,Batsman,87,87,10,False,32,Right,Right,Aggressive Opener,Part-time,None,"Death bowling, Technique","Swing, Concentration",3
Jytesh Sherma,Wicketkeeper,87,87,10,False,32,Right,None,Finisher,Part-time,None,"Power hitting, Fielding","Spin off-break, Swing",6
Divdutt Pedikkal,Batsman,87,87,10,False,25,Left,None,Anchor,Part-time,None,"Technique, Fast bowling","Concentration, Swing",1
Mercus Stuinis,All-Rounder,87,85,74,True,36,Right,Right,Finisher,Flexible,Right-arm Medium,"Technique, Fast bowling","Concentration, Running between wickets",5
Meyank Yedav,Bowler (Fast),87,11,87,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fielding, Technique","Swing, High pace",11
Qointon de Kuck,Wicketkeeper,86,86,10,True,33,Left,None,Aggressive Opener,Part-time,None,"Technique, Power hitting","Spin leg-break, High pace",1
Junny Beirstow,Wicketkeeper,86,86,10,True,36,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Technique","Swing, Short pitch balls",1
Divon Cunway,Wicketkeeper,86,86,10,True,34,Left,None,Anchor,Part-time,None,"Death bowling, Fielding","Short pitch balls, Spin leg-break",1
Tylak Verma,All-Rounder,86,85,60,False,23,Left,Right,Middle-over Rotator,Part-time,Right-arm Medium,"Spin bowling, Technique","Running between wickets, Swing",3
Revi Byshnoi,Bowler (Spin),86,14,86,False,25,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Aggressive batting, Fielding","Short pitch balls, High pace",11
T Netarajan,Bowler (Fast),86,11,86,False,35,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,"Death bowling, Technique","Swing, Spin off-break",11
Pryyansh Arye,Batsman,85,85,10,False,25,Right,None,Aggressive Opener,Part-time,None,"Fast bowling, Death bowling","High pace, Concentration",1
Prebhsimran Syngh,Wicketkeeper,85,85,10,False,25,Right,None,Aggressive Opener,Part-time,None,"Power hitting, Spin bowling","Spin off-break, Short pitch balls",1
Vinkatesh Iyir,All-Rounder,85,84,52,False,31,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,"Technique, Death bowling","High pace, Concentration",3
Nytish Komar Riddy,All-Rounder,85,83,76,False,22,Right,Right,Finisher,Flexible,Right-arm Medium,"Death bowling, Power hitting","Short pitch balls, High pace",6
Wyll Jecks,All-Rounder,84,84,66,True,26,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,"Fielding, Power hitting","Spin off-break, Concentration",1
Ayosh Bedoni,Batsman,84,84,45,False,26,Right,Right,Middle-over Rotator,Part-time,None,"Death bowling, Technique","Swing, Short pitch balls",5
Diwald Brivis,Batsman,84,84,30,True,23,Right,Right,Aggressive Opener,Part-time,None,"Technique, Aggressive batting","Concentration, Running between wickets",4
Veibhav Suoryavanshi,Batsman,84,84,10,False,14,Left,None,Aggressive Opener,Part-time,None,"Fast bowling, Aggressive batting","Spin leg-break, Spin off-break",1
Kertik Sherma,Wicketkeeper,84,84,10,False,19,Right,None,Middle-over Rotator,Part-time,None,"Spin bowling, Fast bowling","Running between wickets, Spin off-break",5
Devid Myller,Batsman,84,84,10,True,36,Left,None,Finisher,Part-time,None,"Power hitting, Aggressive batting","Concentration, Short pitch balls",5
Ajynkya Rehane,Batsman,84,84,10,False,38,Right,Right,Anchor,Part-time,None,"Aggressive batting, Spin bowling","Swing, High pace",1
Rechin Revindra,All-Rounder,84,83,74,True,26,Left,Left,Aggressive Opener,Flexible,Left-arm Medium,"Fielding, Fast bowling","Short pitch balls, Spin off-break",1
Weshington Sondar,All-Rounder,84,78,84,False,26,Left,Right,Middle-over Rotator,New Ball,Right-arm Offbreak,"Spin bowling, Aggressive batting","Spin leg-break, Running between wickets",7
Sem Corran,All-Rounder,84,78,82,True,27,Left,Left,Lower-order Hitter,Flexible,Left-arm Medium,"Fast bowling, Technique","Swing, Short pitch balls",7
Merco Jensen,All-Rounder,84,65,83,True,25,Right,Left,Lower-order Hitter,Flexible,Left-arm Medium,"Aggressive batting, Power hitting","Spin leg-break, Swing",8
Hershal Petel,All-Rounder,84,50,84,False,35,Right,Right,Lower-order Hitter,Death Overs,Right-arm Variations,"Power hitting, Technique","Short pitch balls, Spin leg-break",9
Hershit Rena,Bowler (Fast),84,35,83,False,24,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Spin bowling, Power hitting","Running between wickets, Swing",10
Girald Cuetzee,Bowler (Fast),84,24,84,True,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fast bowling, Power hitting","Short pitch balls, Concentration",10
Mojeeb Ur Rehman,Bowler (Spin),84,20,84,True,26,Right,Right,Defensive Tailender,New Ball,Mystery Spin,"Spin bowling, Fielding","High pace, Concentration",11
Meheesh Thiekshana,Bowler (Spin),84,18,84,True,25,Right,Right,Defensive Tailender,New Ball,Mystery Spin,"Death bowling, Power hitting","Short pitch balls, Running between wickets",11
Anrych Nurtje,Bowler (Fast),84,16,84,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Death bowling, Aggressive batting","Concentration, Spin leg-break",11
Kegiso Rebada,Bowler (Fast),84,15,84,True,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fast bowling, Death bowling","Spin off-break, Concentration",10
Eshen Melinga,Bowler (Fast),84,14,84,True,24,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Technique, Power hitting","Concentration, Swing",11
Avish Khen,Bowler (Fast),84,13,84,False,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fielding, Fast bowling","High pace, Swing",10
Mokesh Komar,Bowler (Fast),84,12,84,False,32,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Power hitting","Short pitch balls, Spin leg-break",11
Mostafizur Rehman,Bowler (Fast),84,11,84,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Variations,"Aggressive batting, Technique","Spin off-break, High pace",11
Deryl Mytchell,All-Rounder,83,83,58,True,34,Right,Right,Middle-over Rotator,Part-time,Right-arm Medium,"Spin bowling, Power hitting","High pace, Spin off-break",4
Ryshabh Pent,Wicketkeeper,83,83,12,False,28,Left,None,Aggressive Opener,Part-time,None,"Technique, Spin bowling","Spin leg-break, Spin off-break",4
Pethum Nyssanka,Batsman,83,83,10,True,28,Right,None,Anchor,Part-time,None,"Aggressive batting, Technique","High pace, Running between wickets",1
Jush Inglys,Wicketkeeper,83,83,10,True,31,Right,None,Middle-over Rotator,Part-time,None,"Fielding, Spin bowling","Running between wickets, Spin leg-break",4
Kronal Pendya,All-Rounder,83,76,80,False,34,Left,Left,Middle-over Rotator,Flexible,Left-arm Orthodox,"Death bowling, Fast bowling","Swing, Short pitch balls",6
Jeson Hulder,All-Rounder,83,72,81,True,33,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Death bowling, Spin bowling","Spin leg-break, Running between wickets",8
Diepak Chehar,Bowler (Fast),83,55,81,False,33,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Fielding, Aggressive batting","Spin leg-break, Running between wickets",11
Kheleel Ahmid,Bowler (Fast),83,11,83,False,28,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,"Technique, Spin bowling","Swing, Spin off-break",11
Ayden Merkram,All-Rounder,82,82,55,True,31,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Fielding, Spin bowling","Spin off-break, Running between wickets",1
Sheshank Syngh,Batsman,82,82,40,False,34,Right,Right,Finisher,Part-time,None,"Fast bowling, Power hitting","Short pitch balls, Running between wickets",6
Tym Devid,Batsman,82,82,30,True,30,Right,Right,Finisher,Part-time,None,"Death bowling, Fast bowling","Spin leg-break, Running between wickets",6
Jeke Freser-McGork,Batsman,82,82,12,True,24,Right,None,Aggressive Opener,Part-time,None,"Fielding, Spin bowling","Running between wickets, Swing",1
Rehmanullah Gorbaz,Wicketkeeper,82,82,10,True,24,Right,None,Aggressive Opener,Part-time,None,"Technique, Fielding","High pace, Short pitch balls",1
Bin Dockett,Wicketkeeper,82,82,10,True,31,Left,None,Aggressive Opener,Part-time,None,"Technique, Fast bowling","High pace, Spin off-break",1
Nytish Rena,All-Rounder,82,81,55,False,31,Left,Right,Aggressive Opener,Part-time,Right-arm Medium,"Spin bowling, Death bowling","High pace, Running between wickets",3
Azmetullah Omerzai,All-Rounder,82,76,81,True,26,Right,Right,Lower-order Hitter,New Ball,Right-arm Medium,"Power hitting, Fielding","Spin leg-break, Swing",7
Mytchell Sentner,All-Rounder,82,72,82,True,33,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Spin bowling, Death bowling","Spin leg-break, Short pitch balls",7
Aoqib Der,Bowler (Fast),82,24,82,False,24,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Fielding","Short pitch balls, Swing",11
Mett Hinry,Bowler (Fast),82,18,82,True,34,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Power hitting, Aggressive batting","Running between wickets, High pace",11
Presidh Kryshna,Bowler (Fast),82,11,82,False,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fast bowling, Spin bowling","Swing, Spin leg-break",11
Glinn Phyllips,Wicketkeeper,81,81,42,True,29,Right,Right,Finisher,Part-time,Right-arm Offbreak,"Power hitting, Aggressive batting","Swing, Running between wickets",5
Remandeep Syngh,All-Rounder,81,78,65,False,29,Right,Right,Finisher,Flexible,Right-arm Medium,"Aggressive batting, Power hitting","Swing, Short pitch balls",6
Mengesh Yedav,All-Rounder,81,75,76,False,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Aggressive batting, Power hitting","Running between wickets, High pace",9
Aoqib Nebi,All-Rounder,81,72,75,False,25,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Death bowling, Spin bowling","High pace, Swing",9
Akial Husein,Bowler (Spin),81,60,81,True,33,Left,Left,Lower-order Hitter,New Ball,Left-arm Orthodox,"Spin bowling, Power hitting","Spin off-break, High pace",10
Sei Kyshore,Bowler (Spin),81,48,81,False,29,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Technique, Death bowling","Short pitch balls, Swing",11
Rehul Chehar,Bowler (Spin),81,22,81,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Aggressive batting, Fast bowling","Swing, Spin leg-break",11
Prynce Yedav,Bowler (Fast),81,16,81,False,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Aggressive batting","Running between wickets, Swing",11
Nethan Ellys,Bowler (Fast),81,16,81,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Variations,"Technique, Fast bowling","Swing, Concentration",11
Muhsin Khen,Bowler (Fast),81,14,81,False,27,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,"Fielding, Aggressive batting","Spin off-break, Running between wickets",11
Kemindu Mindis,All-Rounder,80,80,64,True,27,Left,Both,Middle-over Rotator,Flexible,Right-arm Offbreak,"Fast bowling, Technique","Swing, Short pitch balls",5
Abdol Semad,All-Rounder,80,80,46,False,23,Right,Right,Finisher,Part-time,Right-arm Medium,"Fast bowling, Aggressive batting","High pace, Short pitch balls",6
Ashotosh Sherma,Batsman,80,80,20,False,27,Right,Right,Finisher,Part-time,None,"Fielding, Spin bowling","Spin leg-break, Running between wickets",6
Ayosh Mhetre,Batsman,80,80,12,False,18,Right,Right,Aggressive Opener,Part-time,None,"Death bowling, Fielding","Swing, Spin off-break",1
Ryen Ryckelton,Wicketkeeper,80,80,10,True,29,Left,None,Aggressive Opener,Part-time,None,"Power hitting, Fast bowling","Running between wickets, Short pitch balls",1
MS Dhuni,Wicketkeeper,80,80,10,False,44,Right,None,Finisher,Part-time,None,"Fast bowling, Technique","Running between wickets, Concentration",6
Mychael Brecewell,All-Rounder,80,79,73,True,34,Left,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,"Technique, Fielding","Spin leg-break, Running between wickets",6
Preshant Vier,All-Rounder,80,78,77,False,19,Left,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fast bowling, Fielding","Concentration, Swing",8
Rehul Tiwatia,Batsman,80,78,46,False,31,Left,Right,Finisher,Part-time,None,"Power hitting, Aggressive batting","High pace, Spin leg-break",6
Sherdul Thekur,All-Rounder,80,62,79,False,34,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Technique, Fast bowling","Concentration, Short pitch balls",8
Anshol Kemboj,Bowler (Fast),80,45,80,False,25,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Spin bowling, Fast bowling","Short pitch balls, Swing",11
Toshar Dishpande,Bowler (Fast),80,18,80,False,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Aggressive batting, Fielding","High pace, Swing",11
AM Ghezanfar,Bowler (Spin),80,18,80,True,20,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Technique, Power hitting","Short pitch balls, Spin leg-break",11
Spincer Juhnson,Bowler (Fast),80,14,80,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,"Fast bowling, Technique","Short pitch balls, Swing",11
Yesh Deyal,Bowler (Fast),80,12,80,False,28,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,"Spin bowling, Technique","Swing, Spin off-break",11
Sendeep Sherma,Bowler (Fast),80,12,80,False,33,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,"Spin bowling, Technique","Short pitch balls, Running between wickets",11
Luckie Firguson,Bowler (Fast),80,12,80,True,33,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Fast bowling, Power hitting","High pace, Running between wickets",11
Fezalhaq Ferooqi,Bowler (Fast),80,12,80,True,25,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,"Power hitting, Technique","Swing, Spin off-break",11
Metthew Shurt,All-Rounder,79,79,68,True,30,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,"Technique, Fast bowling","Swing, Short pitch balls",1
Shirfane Rotherford,Batsman,79,79,35,True,27,Left,Right,Finisher,Part-time,None,"Technique, Aggressive batting","Spin leg-break, Swing",5
Nihal Wedhera,Batsman,79,79,15,False,25,Left,Right,Middle-over Rotator,Part-time,None,"Death bowling, Technique","Concentration, Running between wickets",4
Tym Siifert,Batsman,79,79,10,True,31,Right,None,Aggressive Opener,Part-time,None,"Spin bowling, Technique","Concentration, Swing",1
Rehul Trypathi,Batsman,79,79,10,False,35,Right,Right,Middle-over Rotator,Part-time,None,"Aggressive batting, Technique","Concentration, High pace",3
Abyshek Purel,Wicketkeeper,79,79,10,False,23,Left,None,Aggressive Opener,Part-time,None,"Spin bowling, Fast bowling","Spin leg-break, Swing",1
Jecob Bithell,All-Rounder,79,76,75,True,22,Left,Left,Middle-over Rotator,Flexible,Left-arm Medium,"Fielding, Fast bowling","Swing, Short pitch balls",4
Shehbaz Ahmid,All-Rounder,79,73,76,False,31,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Aggressive batting, Fielding","Running between wickets, Swing",7
Brydun Cerse,All-Rounder,79,58,79,True,30,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Fast bowling, Spin bowling","Running between wickets, Spin leg-break",8
Akesh Diep,Bowler (Fast),79,20,79,False,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Spin bowling, Fielding","Concentration, Swing",11
Adem Mylne,Bowler (Fast),79,15,79,True,34,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,"Fielding, Technique","Spin leg-break, Running between wickets",11
Dygvesh Rethi,Bowler (Spin),79,14,79,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Death bowling, Aggressive batting","Spin off-break, Short pitch balls",11
Longi Ngydi,Bowler (Fast),79,11,79,True,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Technique, Aggressive batting","Swing, Spin off-break",11
Ruvman Puwell,Batsman,78,78,40,True,32,Right,Right,Finisher,Part-time,None,"Power hitting, Aggressive batting","Short pitch balls, Spin leg-break",5
Neman Dhyr,Batsman,78,78,32,False,26,Right,Right,Middle-over Rotator,Part-time,None,"Technique, Aggressive batting","Short pitch balls, Concentration",4
Tum Benton,Wicketkeeper,78,78,10,True,27,Right,None,Aggressive Opener,Part-time,None,"Death bowling, Power hitting","Short pitch balls, Concentration",1
Jemie Smyth,Wicketkeeper,78,78,10,True,25,Right,None,Aggressive Opener,Part-time,None,"Power hitting, Fast bowling","Concentration, Spin leg-break",1
Angkrysh Reghuvanshi,Wicketkeeper,78,78,10,False,20,Right,None,Anchor,Part-time,None,"Death bowling, Technique","Swing, Concentration",3
M Shehrukh Khen,Batsman,78,77,45,False,31,Right,Right,Finisher,Part-time,None,"Power hitting, Spin bowling","Spin leg-break, Swing",6
Wyaan Molder,All-Rounder,78,76,78,True,28,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,"Fielding, Fast bowling","Running between wickets, Concentration",7
Rumario Shipherd,All-Rounder,78,74,75,True,31,Right,Right,Lower-order Hitter,Death Overs,Right-arm Medium,"Fast bowling, Death bowling","Concentration, High pace",7
Gos Atkynson,All-Rounder,78,52,78,True,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Fast bowling, Aggressive batting","Swing, Short pitch balls",8
Kyli Jemieson,Bowler (Fast),78,45,78,True,31,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Aggressive batting, Fielding","High pace, Concentration",11
Herpreet Brer,Bowler (Spin),78,45,77,False,30,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Fast bowling, Fielding","Short pitch balls, Spin off-break",11
Resikh Selam,Bowler (Fast),78,25,78,False,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fast bowling, Fielding","Short pitch balls, Spin leg-break",11
Alzerri Juseph,Bowler (Fast),78,24,78,True,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Fielding","Running between wickets, Spin leg-break",10
Teskin Ahmid,Bowler (Fast),78,16,78,True,31,Left,Right,Defensive Tailender,New Ball,Right-arm Fast,"Death bowling, Aggressive batting","Spin leg-break, High pace",11
Nendre Borger,Bowler (Fast),78,16,78,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,"Fast bowling, Power hitting","Spin leg-break, Running between wickets",11
Soyash Sherma,Bowler (Spin),78,11,78,False,23,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Fielding, Aggressive batting","Short pitch balls, Concentration",11
Nowan Thoshara,Bowler (Fast),78,11,78,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Fielding, Spin bowling","Spin off-break, Concentration",11
Cuoper Cunnolly,All-Rounder,77,77,66,True,22,Left,Left,Aggressive Opener,Middle Overs,Left-arm Orthodox,"Fast bowling, Fielding","High pace, Spin leg-break",6
Abhynav Menohar,Batsman,77,77,12,False,31,Right,None,Finisher,Part-time,None,"Fast bowling, Death bowling","Running between wickets, Concentration",5
Prythvi Shew,Batsman,77,77,10,False,26,Right,Right,Aggressive Opener,Part-time,None,"Technique, Fast bowling","Spin off-break, Short pitch balls",1
Metthew Brietzke,Wicketkeeper,77,77,10,True,27,Right,None,Aggressive Opener,Part-time,None,"Power hitting, Fielding","Short pitch balls, Spin leg-break",1
Jeck Edwerds,All-Rounder,77,74,72,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fielding, Death bowling","Swing, Spin off-break",7
Jemie Ovirton,All-Rounder,77,70,74,True,32,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,"Fielding, Power hitting","Short pitch balls, Swing",8
Sian Abbutt,All-Rounder,77,48,77,True,34,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,"Death bowling, Spin bowling","Spin leg-break, Swing",8
Xevier Bertlett,Bowler (Fast),77,24,77,True,28,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,"Fast bowling, Death bowling","Swing, High pace",11
