name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Martin Crowe,Batsman,91,93,10,False,61,Right,Right,Anchor,Part-time,None,"Technique,Leadership",Short-pitch pace,3
Imran Khan,All-Rounder,91,84,92,False,71,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast,"Swing,Leadership",Age,7
Shaheen Shah Afridi,Bowler (Fast),91,20,93,False,24,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Swing,Left-arm angle",Batting,11
Lasith Malinga,Bowler (Fast),91,14,96,False,39,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Yorkers,Slingy action",Batting,11
Shoaib Akhtar,Bowler (Fast),90,14,96,False,48,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Express pace,Reverse swing",Batting,11
Shakib Al Hasan,All-Rounder,90,84,91,False,37,Left,Left,Middle-order Rotator,Middle Overs,Left-arm Orthodox,"Greatest BAN cricketer,Utility",Age management,5
Pat Cummins,All-Rounder,90,26,93,False,31,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Accuracy,Reverse swing",Batting,11
Hardik Pandya,All-Rounder,90,90,87,False,30,Right,Right,Lower-order Hitter,Death,Right-arm Fast,"Power hitting,Death pace",Fitness management,6
Lance Klusener,All-Rounder,90,88,86,False,53,Left,Left,Lower-order Hitter,Death,Right-arm Fast-medium,"Death hitting,Death bowling",Consistency,8
Travis Head,Batsman,90,92,10,False,30,Left,None,Aggressive Opener,Part-time,None,"Explosive starts,Timing",Spin on turning tracks,1
Quinton de Kock,Wicketkeeper,90,92,10,False,31,Left,None,Aggressive Opener,Part-time,None,"Explosive starts,Glove work",Pace outside off,1
Brendon McCullum,Wicketkeeper,90,91,10,False,42,Right,Right,Aggressive Opener,Part-time,None,"Explosive starts,Leadership",Late swing,1
Mohammed Shami,Bowler (Fast),90,18,92,False,33,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Swing,Seam movement",Age management,10
Kevin Pietersen,Batsman,90,91,10,False,43,Right,Right,Aggressive Opener,Part-time,None,"Switch hitting,Technique",Short-pitch pace,4
Shubman Gill,Batsman,90,92,10,False,24,Right,None,Anchor,Part-time,None,"Technique,Elegance",Hostile pace,1
Yuvraj Singh,All-Rounder,90,91,82,False,41,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Six hitting,Left-arm spin",Short-pitch pace,4
Graeme Pollock,Batsman,90,92,10,False,80,Left,Right,Anchor,Part-time,None,"SA legend,Technique",Short-pitch pace,3
Barry Richards,Batsman,90,92,10,False,73,Right,Right,Anchor,Part-time,None,"Brilliance,Technique",Short-pitch pace,1
Shaun Pollock,All-Rounder,90,76,92,False,50,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"All-round,Accuracy",Batting,8
Andrew Symonds,All-Rounder,89,89,78,False,49,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Medium,"Power hitting,Fielding",Spin on turning tracks,5
Ross Taylor,Batsman,89,91,10,False,44,Right,Right,Anchor,Part-time,None,"Middle-order mastery,Technique",Short-pitch pace,4
Aravinda de Silva,Batsman,89,91,12,False,58,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Attacking technique,Improvisation",Short-pitch pace,3
Javed Miandad,Batsman,89,90,10,False,66,Right,Right,Anchor,Part-time,Leg-spin,"Technique,Composure",Short-pitch pace,3
Mahela Jayawardene,Batsman,89,91,10,False,46,Right,Right,Anchor,Part-time,None,"Technique,Elegance",Short-pitch pace,3
Mike Hussey,Batsman,89,91,10,False,48,Left,Right,Anchor,Part-time,None,"Finishing,Technique",Short-pitch pace,5
Hashim Amla,Batsman,89,91,10,False,40,Right,Right,Anchor,Part-time,None,"Solid technique,Consistency",Short-pitch pace,1
Anrich Nortje,Bowler (Fast),89,18,92,False,30,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Express pace,Bounce",Fitness,10
Harbhajan Singh,Bowler (Spin),89,78,91,False,43,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Doosra,Home spin",Away tours,8
Zaheer Khan,Bowler (Fast),89,18,91,False,43,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Reverse swing,Wicket-taking",Batting,11
Ravindra Jadeja,All-Rounder,89,80,89,False,35,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Fielding,Left-arm spin",Powerplay batting,8
Shikhar Dhawan,Batsman,89,91,10,False,38,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Consistency",Short-pitch pace,1
Matthew Hayden,Batsman,88,89,10,False,52,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Technique",Short-pitch pace,1
Michael Bevan,Batsman,88,90,10,False,53,Left,Right,Anchor,Part-time,None,"ODI finishing,Technique",Power,5
Chaminda Vaas,Bowler (Fast),88,20,92,False,49,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast-medium,"Swing,Left-arm angle",Batting,11
Shahid Afridi,All-Rounder,88,82,88,False,43,Right,Right,Aggressive Opener,Middle Overs,Leg-spin,"Six hitting,Leg-spin",Inconsistency,1
Tillakaratne Dilshan,Batsman,88,89,12,False,46,Right,Right,Aggressive Opener,Part-time,None,"Dilscoop,Improvisation",Short-pitch pace,1
Andrew Flintoff,All-Rounder,88,82,87,False,45,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast,"Swing,Power hitting",Consistency,6
Dwayne Bravo,All-Rounder,88,77,90,False,40,Right,Right,Lower-order Hitter,Death,Right-arm Medium,"Death bowling,Fielding",Spin on slow tracks,7
Mitchell Starc,Bowler (Fast),88,18,92,False,34,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Swing,Left-arm angle",Batting,11
Harry Brook,Batsman,88,90,10,False,25,Right,None,Aggressive Opener,Part-time,None,"Aggression,Technique",Spin on turning tracks,3
Jofra Archer,Bowler (Fast),88,22,91,False,28,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Express pace,Bounce",Injury history,10
Wanindu Hasaranga,All-Rounder,88,72,90,False,27,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Googly,Economy",Express pace,8
Kuldeep Yadav,Bowler (Spin),88,24,91,False,29,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist-spin,"Googly,Variations",Batting,10
Rishabh Pant,Wicketkeeper,88,90,10,False,27,Left,None,Aggressive Opener,Part-time,None,"Match-winning innings,Glove work",Wide outside off,6
Inzamam-ul-Haq,Batsman,88,90,10,False,54,Right,Right,Anchor,Part-time,None,"Technique,Finishing",Running between wickets,4
Andy Flower,Wicketkeeper,88,90,10,False,55,Left,Right,Anchor,Part-time,None,"Zimbabwe legend,Technique",Short-pitch pace,3
Tamim Iqbal,Batsman,87,88,10,False,35,Left,Right,Aggressive Opener,Part-time,None,"Explosive starts,Left-hand technique",Short-pitch pace,1
Andre Russell,All-Rounder,87,84,84,False,35,Right,Right,Lower-order Hitter,Death,Right-arm Fast,"Power hitting,Death bowling",Fitness management,6
Aiden Markram,All-Rounder,87,88,15,False,29,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Timing,Leadership",Short-pitch pace,3
Josh Hazlewood,Bowler (Fast),87,18,90,False,33,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Line and length,Economy",Death overs,10
Trent Boult,Bowler (Fast),87,20,90,False,34,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast-medium,"Swing,New-ball wickets",Death economy,11
Mujeeb Ur Rahman,Bowler (Spin),87,18,90,False,24,Right,Right,Defensive Tailender,Powerplay,Right-arm Offbreak,"Mystery spin,Powerplay economy",Batting,10
Kusal Mendis,Wicketkeeper,87,89,10,False,29,Right,Right,Anchor,Part-time,None,"Glove work,Attacking ability",Left-arm spin,4
KL Rahul,Wicketkeeper,87,89,10,False,32,Right,None,Anchor,Part-time,None,"Technique,Versatility",Scoring rate,2
Yuzvendra Chahal,Bowler (Spin),87,18,92,False,33,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Googly,Economy",Batting,11
Sunil Narine,All-Rounder,87,78,90,False,35,Right,Right,Aggressive Opener,Powerplay,Right-arm Offbreak,"Mystery spin,Power hitting",Express pace,1
Saqlain Mushtaq,Bowler (Spin),87,22,91,False,47,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Doosra,Economy",Batting,11
Everton Weekes,Batsman,87,89,10,False,97,Right,Right,Anchor,Part-time,None,"3Ws,5 consecutive hundreds",Short-pitch pace,3
Jacob Oram,All-Rounder,86,82,84,False,46,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"Height,Bat and ball",Injuries,7
Shoaib Malik,All-Rounder,86,86,76,False,41,Right,Right,Middle-order Rotator,Middle Overs,Right-arm Offbreak,"Consistency,Adaptability",Express pace,5
Ajantha Mendis,Bowler (Spin),86,14,90,False,38,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Mystery spin,Carrom ball",Batting,11
Adil Rashid,Bowler (Spin),86,28,88,False,36,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Googly,White-ball economy",Batting,10
Jason Roy,Batsman,86,87,10,False,33,Right,Right,Aggressive Opener,Part-time,None,"Explosive starts,Fielding",Short-pitch pace,1
Faf du Plessis,Batsman,86,87,10,False,39,Right,Right,Aggressive Opener,Part-time,None,"Power hitting,Technique",Spin off-stump,1
David Miller,Batsman,86,88,10,False,34,Left,None,Lower-order Hitter,Part-time,None,"Six hitting,Finishing",Spin in early overs,6
Adam Zampa,Bowler (Spin),86,22,89,False,32,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Variations,Economy",Short boundaries,10
Axar Patel,All-Rounder,86,78,86,False,30,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Economy,Batting depth",Short-pitched deliveries,8
Mohammed Asif,Bowler (Fast),86,14,90,False,40,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Accuracy,Reverse swing",Batting,11
Shreyas Iyer,Batsman,86,88,12,False,29,Right,None,Anchor,Part-time,None,"Leg-side play,Finisher",Short-pitch bowling,5
Mushfiqur Rahim,Wicketkeeper,86,88,10,False,36,Right,None,Anchor,Part-time,None,"Prolific BAN batter,Grit",Age management,5
Shai Hope,Wicketkeeper,86,88,10,False,30,Right,None,Anchor,Part-time,None,"Prolific run-scorer,Leadership",Power in death,2
Marnus Labuschagne,Batsman,86,88,10,False,29,Right,Right,Anchor,Part-time,Leg-spin,"Concentration,Technique",Scoring rate in ODIs,4
Devon Conway,Wicketkeeper,86,88,10,False,33,Left,None,Anchor,Part-time,None,"Clean timing,Glove work",Short pitch,2
Gordon Greenidge,Batsman,86,88,10,False,72,Right,Right,Aggressive Opener,Part-time,None,"Power hitting,Dominance",Short-pitch pace,1
Clive Lloyd,Batsman,86,87,10,False,80,Left,Right,Anchor,Part-time,None,"Leadership,Power hitting",Short-pitch pace,5
Heath Streak,All-Rounder,86,70,86,False,51,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"Zimbabwe legend,Pace",Batting,9
Chris Cairns,All-Rounder,86,82,84,False,51,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast,"All-round,Power hitting",Fitness,7
Mohammed Siraj,Bowler (Fast),85,18,88,False,30,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Swing,Accuracy",Death economy,10
Pathum Nissanka,Batsman,85,87,10,False,25,Right,None,Anchor,Part-time,None,"Consistency,Technique",Power in death,1
Mohammad Rizwan,Wicketkeeper,85,87,10,False,31,Right,None,Anchor,Part-time,None,"Grit,Glove work",Aggression,5
Fakhar Zaman,Batsman,85,87,10,False,34,Left,None,Aggressive Opener,Part-time,None,"Big innings,Power",Age management,1
Naseem Shah,Bowler (Fast),85,18,88,False,20,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Raw pace,Bounce",Batting,10
Ben Duckett,Batsman,85,87,10,False,29,Left,None,Aggressive Opener,Part-time,None,"Left-hand aggression,Sweep",Short-pitch pace,2
Mustafizur Rahman,Bowler (Fast),85,18,88,False,28,Left,Left,Defensive Tailender,Death,Left-arm Fast-medium,"Cutter,Variations",Economy,10
Keshav Maharaj,Bowler (Spin),85,24,87,False,34,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Economy,White-ball spin",Express pace wickets,10
Moeen Ali,All-Rounder,85,83,83,False,36,Left,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Power hitting,Economy",Short-pitch pace,4
Clyde Walcott,Wicketkeeper,85,87,10,False,89,Right,None,Anchor,Part-time,None,"3Ws,Power hitting",Short-pitch pace,3
Frank Worrell,Batsman,85,87,10,False,95,Left,Right,Anchor,Part-time,None,"3Ws,Leadership",Short-pitch pace,3
Stuart Broad,Bowler (Fast),84,22,87,False,37,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Swing,Consistency",Batting,10
Upul Tharanga,Batsman,84,85,10,False,40,Left,Right,Aggressive Opener,Part-time,None,"Left-hand technique,Fluency",Short-pitch pace,1
Jason Holder,All-Rounder,84,74,82,False,32,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"Height,Leadership",Economy in ODIs,7
Dhananjaya de Silva,All-Rounder,84,82,74,False,32,Right,Right,Anchor,Middle Overs,Right-arm Offbreak,"Technique,Utility",Express pace,5
Kamindu Mendis,All-Rounder,84,80,76,False,25,Left,Left,Anchor,Middle Overs,Left-arm Orthodox,"Switch hitting,Ambidextrous spin",Bowling workload,7
Charith Asalanka,Batsman,84,86,10,False,27,Left,Left,Anchor,Part-time,Left-arm Orthodox,"Consistency,Leadership",Express pace,3
Daryl Mitchell,All-Rounder,84,84,72,False,33,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Medium,"Clutch performances,Grit",Bowling consistency,5
Mitchell Santner,All-Rounder,84,76,84,False,32,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Economy,Left-arm spin",Pace,7
Lockie Ferguson,Bowler (Fast),84,18,87,False,33,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Express pace,Bounce",Economy,11
Rahmanullah Gurbaz,Wicketkeeper,84,86,10,False,21,Right,None,Anchor,Part-time,None,"Explosive starts,Youth",Consistency,1
Mohammad Nabi,All-Rounder,84,74,82,False,38,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Experience,Utility",Age management,6
Fazalhaq Farooqi,Bowler (Fast),84,16,87,False,24,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Swing,Left-arm angle",Death economy,10
Tim Southee,Bowler (Fast),84,20,87,False,34,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Swing,Experience",Pace,10
Prabath Jayasuriya,Bowler (Spin),84,18,87,False,32,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,"Home spin,Economy",Away surfaces,10
Shimron Hetmyer,Batsman,84,86,10,False,27,Left,None,Lower-order Hitter,Part-time,None,"Power hitting,Left-hand",Availability,6
Imran Tahir,Bowler (Spin),84,16,88,False,44,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Googly,Economy",Batting,11
Rohan Kanhai,Batsman,84,86,10,False,84,Right,Right,Anchor,Part-time,None,"Elegance,WI legend",Short-pitch pace,3
Graeme Hick,Batsman,84,85,10,False,57,Right,Right,Anchor,Part-time,Right-arm Offbreak,"County legend,Technique",Short-pitch pace,4
Damien Martyn,Batsman,84,85,10,False,51,Right,Right,Anchor,Part-time,None,"Elegance,Technique",Short-pitch pace,4
Makhaya Ntini,Bowler (Fast),84,12,87,False,46,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,Accuracy",Batting,11
Javagal Srinath,Bowler (Fast),84,14,87,False,52,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,New-ball",Batting,11
Arjuna Ranatunga,Batsman,83,85,10,False,60,Left,Right,Anchor,Part-time,None,"Leadership,Tactical acumen",Fitness,5
Rassie van der Dussen,Batsman,83,84,10,False,34,Right,Right,Middle-order Rotator,Part-time,None,"Technique,Finishing",Express pace,5
Shadab Khan,All-Rounder,83,72,84,False,25,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Googly,Lower-order hitting",Economy in powerplay,8
Mehidy Hasan Miraz,All-Rounder,83,72,82,False,25,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Economy,All-round",Express pace,8
Maheesh Theekshana,Bowler (Spin),83,18,86,False,23,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Mystery spin,Economy",Away surfaces,10
Marco Jansen,All-Rounder,83,72,83,False,23,Left,Left,Lower-order Hitter,Death,Left-arm Fast-medium,"Tall seam,Left-arm angle",Death economy,8
Washington Sundar,All-Rounder,83,72,82,False,24,Left,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Economy,Utility",Pace in powerplay,8
Chris Woakes,All-Rounder,83,70,83,False,35,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"Swing,Economy",Death bowling,9
Alzarri Joseph,Bowler (Fast),83,20,86,False,27,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,Wicket-taking",Fitness management,10
Desmond Haynes,Batsman,83,84,10,False,67,Right,Right,Anchor,Part-time,None,"West Indian opener,Consistency",Short-pitch pace,1
Sikandar Raza,All-Rounder,83,82,79,False,36,Right,Right,Middle-order Rotator,Middle Overs,Right-arm Offbreak,"Consistency,Utility",Express pace,4
Graeme Swann,Bowler (Spin),83,26,86,False,44,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Economy,Partnership breaking",Batting,10
Mushtaq Ahmed,Bowler (Spin),83,18,86,False,53,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Variations,Economy",Batting,11
Marcus Trescothick,Batsman,83,84,10,False,47,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Left-hand",Short-pitch pace,1
Nasser Hussain,Batsman,83,84,10,False,56,Right,Right,Anchor,Part-time,None,"Technique,Leadership",Short-pitch pace,4
Brad Haddin,Wicketkeeper,83,84,10,False,41,Right,None,Aggressive Opener,Part-time,None,"Explosive starts,Glove work",Consistency,7
Hansie Cronje,All-Rounder,83,82,76,False,49,Right,Right,Anchor,Middle Overs,Right-arm Medium,"Leadership,SA great",Controversy,5
Gary Kirsten,Batsman,83,85,10,False,49,Left,Right,Anchor,Part-time,None,"SA opener,Concentration",Short-pitch pace,1
Glenn Turner,Batsman,83,85,10,False,73,Right,Right,Anchor,Part-time,None,"NZ opener,Concentration",Scoring rate,1
Richie Richardson,Batsman,83,85,10,False,56,Right,Right,Anchor,Part-time,None,"Technique,Confidence",Short-pitch pace,3
Colin Croft,Bowler (Fast),83,12,86,False,71,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,Angle",Batting,11
Mohammad Hafeez,All-Rounder,83,82,78,False,43,Right,Right,Aggressive Opener,Middle Overs,Right-arm Offbreak,"Consistent opener,Economy",Express pace,1
Mahmudullah,All-Rounder,82,80,74,False,38,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Offbreak,"Veteran experience,Finisher",Age management,5
Taskin Ahmed,Bowler (Fast),82,18,85,False,28,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,New-ball",Death economy,10
Roston Chase,All-Rounder,82,80,78,False,32,Right,Right,Middle-order Rotator,Middle Overs,Right-arm Offbreak,"Reliability,Utility",Express pace,4
Carl Hooper,All-Rounder,82,82,76,False,58,Right,Right,Middle-order Rotator,Middle Overs,Right-arm Offbreak,"All-round ability,Elegance",Consistency,4
Rovman Powell,Batsman,82,84,10,False,30,Right,Right,Lower-order Hitter,Part-time,None,"Six hitting,Explosive",Consistency,5
Blessing Muzarabani,Bowler (Fast),82,14,85,False,26,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Tall seam,Pace",Batting,11
Evin Lewis,Batsman,82,84,10,False,31,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Left-hand",Spin on slow tracks,1
Brendon Taylor,Batsman,82,84,12,False,37,Right,Right,Aggressive Opener,Part-time,None,"Explosive starts,Technique",Short-pitch pace,1
Paul Stirling,Batsman,82,83,12,False,33,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Consistency",Quality spin,1
Angelo Mathews,All-Rounder,82,80,72,False,36,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Medium,"Veteran experience,Technique",Age management,5
Roy Fredericks,Batsman,82,84,10,False,75,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Left-hand",Short-pitch pace,1
Jeffrey Dujon,Wicketkeeper,82,82,10,False,66,Right,None,Anchor,Part-time,None,"Keeping,Grit",Power hitting,7
Andrew Strauss,Batsman,82,83,10,False,46,Left,Right,Anchor,Part-time,None,"Technique,Opening",Short-pitch pace,1
Alastair Cook,Batsman,82,83,10,False,39,Left,None,Anchor,Part-time,None,"Technique,Patience",ODI strike rate,1
Jonathan Trott,Batsman,82,83,10,False,42,Right,Right,Anchor,Part-time,Right-arm Medium,"Technique,Mental strength",Short-pitch pace,3
Umesh Yadav,Bowler (Fast),82,18,85,False,36,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,New-ball",Economy,10
Brad Hogg,Bowler (Spin),82,22,85,False,53,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist-spin,"Chinaman,Economy",Batting,10
Daryll Cullinan,Batsman,82,84,10,False,54,Right,Right,Anchor,Part-time,None,"SA technique,Consistency",Short-pitch pace,4
Chris Harris,All-Rounder,82,80,76,False,55,Right,Right,Lower-order Hitter,Middle Overs,Right-arm Medium,"Economy,NZ utility",Express pace,7
Damien Fleming,Bowler (Fast),82,18,85,False,51,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Swing,Economy",Pace,10
Lendl Simmons,Batsman,81,82,10,False,38,Right,Right,Aggressive Opener,Part-time,None,"West Indian power,Experience",Short-pitch pace,1
Dinesh Chandimal,Wicketkeeper,81,83,10,False,34,Right,None,Anchor,Part-time,None,"Grit,Glove work",Power hitting,5
Ishant Sharma,Bowler (Fast),81,14,84,False,35,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Height,Bounce",Economy in ODIs,11
